item	phono	cgram	grapheme	assoc	regTo_GP
mât	ma	NOM	m.â.t	m-m.â-a.t-#	1.1.1.
mâte	mat	VER	m.â.t.e	m-m.â-a.t-t.e-#	1.1.1.1.
mâter	mate	VER	m.â.t.er	m-m.â-a.t-t.er-e	1.1.1.1.
mâtin	mat5	NOM	m.â.t.in	m-m.â-a.t-t.in-5	1.1.1.1.
mâtin	mat5	ONO	m.â.t.in	m-m.â-a.t-t.in-5	1.1.1.1.
mâtinant	matin@	VER	m.â.t.i.n.ant	m-m.â-a.t-t.i-i.n-n.ant-@	1.1.1.1.1.1.
mâtine	matin	NOM	m.â.t.i.n.e	m-m.â-a.t-t.i-i.n-n.e-#	1.1.1.1.1.1.
mâtines	matin	NOM	m.â.t.i.n.es	m-m.â-a.t-t.i-i.n-n.es-#	1.1.1.1.1.1.
mâtins	mat5	NOM	m.â.t.in.s	m-m.â-a.t-t.in-5.s-#	1.1.1.1.1.
mâtiné	matine	VER	m.â.t.i.n.é	m-m.â-a.t-t.i-i.n-n.é-e	1.1.1.1.1.1.
mâtiné	matine	ADJ	m.â.t.i.n.é	m-m.â-a.t-t.i-i.n-n.é-e	1.1.1.1.1.1.
mâtinée	matine	VER	m.â.t.i.n.é.e	m-m.â-a.t-t.i-i.n-n.é-e.e-#	1.1.1.1.1.1.1.
mâtinés	matine	VER	m.â.t.i.n.é.s	m-m.â-a.t-t.i-i.n-n.é-e.s-#	1.1.1.1.1.1.1.
mâts	ma	NOM	m.â.ts	m-m.â-a.ts-#	1.1.1.
mâture	matyR	NOM	m.â.t.u.r.e	m-m.â-a.t-t.u-y.r-R.e-#	1.1.1.1.1.1.
mâtures	matyR	NOM	m.â.t.u.r.es	m-m.â-a.t-t.u-y.r-R.es-#	1.1.1.1.1.1.
mâtée	mate	VER	m.â.t.é.e	m-m.â-a.t-t.é-e.e-#	1.1.1.1.1.
mèche	mES	NOM	m.è.ch.e	m-m.è-E.ch-S.e-#	1.1.1.1.
mèches	mES	NOM	m.è.ch.es	m-m.è-E.ch-S.es-#	1.1.1.1.
mène	mEn	VER	m.è.n.e	m-m.è-E.n-n.e-#	1.1.1.1.
mènent	mEn	VER	m.è.n.ent	m-m.è-E.n-n.ent-#	1.1.1.0.
mènera	mEn°Ra	VER	m.è.n.e.r.a	m-m.è-E.n-n.e-°.r-R.a-a	1.1.1.0.1.1.
mènerai	mEn°Re	VER	m.è.n.e.r.ai	m-m.è-E.n-n.e-°.r-R.ai-e	1.1.1.0.1.1.
mèneraient	mEn°RE	VER	m.è.n.e.r.aient	m-m.è-E.n-n.e-°.r-R.aient-E	1.1.1.0.1.1.
mènerais	mEn°RE	VER	m.è.n.e.r.ais	m-m.è-E.n-n.e-°.r-R.ais-E	1.1.1.0.1.1.
mènerait	mEn°RE	VER	m.è.n.e.r.ait	m-m.è-E.n-n.e-°.r-R.ait-E	1.1.1.0.1.1.
mèneras	mEn°Ra	VER	m.è.n.e.r.as	m-m.è-E.n-n.e-°.r-R.as-a	1.1.1.0.1.1.
mènerez	mEn°Re	VER	m.è.n.e.r.ez	m-m.è-E.n-n.e-°.r-R.ez-e	1.1.1.0.1.1.
mènerons	mEn°R§	VER	m.è.n.e.r.ons	m-m.è-E.n-n.e-°.r-R.ons-§	1.1.1.0.1.1.
mèneront	mEn°R§	VER	m.è.n.e.r.ont	m-m.è-E.n-n.e-°.r-R.ont-§	1.1.1.0.1.1.
mènes	mEn	VER	m.è.n.es	m-m.è-E.n-n.es-#	1.1.1.1.
mère	mER	NOM	m.è.r.e	m-m.è-E.r-R.e-#	1.1.1.1.
mères	mER	NOM	m.è.r.es	m-m.è-E.r-R.es-#	1.1.1.1.
mètre	mEtR	NOM	m.è.t.r.e	m-m.è-E.t-t.r-R.e-#	1.1.1.1.1.
mètre	mEtR	VER	m.è.t.r.e	m-m.è-E.t-t.r-R.e-#	1.1.1.1.1.
mètres	mEtR	NOM	m.è.t.r.es	m-m.è-E.t-t.r-R.es-#	1.1.1.1.1.
mètres	mEtR	VER	m.è.t.r.es	m-m.è-E.t-t.r-R.es-#	1.1.1.1.1.
méandre	me@dR	NOM	m.é.an.d.r.e	m-m.é-e.an-@.d-d.r-R.e-#	1.1.1.1.1.1.
méandres	me@dR	NOM	m.é.an.d.r.es	m-m.é-e.an-@.d-d.r-R.es-#	1.1.1.1.1.1.
méandreux	me@dR2	ADJ	m.é.an.d.r.eu.x	m-m.é-e.an-@.d-d.r-R.eu-2.x-#	1.1.1.1.1.1.1.
méandrine	me@dRin	NOM	m.é.an.d.r.i.n.e	m-m.é-e.an-@.d-d.r-R.i-i.n-n.e-#	1.1.1.1.1.1.1.1.
méat	mea	NOM	m.é.a.t	m-m.é-e.a-a.t-#	1.1.1.1.
mécanicien	mekanisj5	NOM	m.é.c.a.n.i.c.i.en	m-m.é-e.c-k.a-a.n-n.i-i.c-s.i-j.en-5	1.1.0.1.1.1.1.0.0.
mécanicienne	mekanisjEn	NOM	m.é.c.a.n.i.c.i.e.nn.e	m-m.é-e.c-k.a-a.n-n.i-i.c-s.i-j.e-E.nn-n.e-#	1.1.0.1.1.1.1.0.1.1.1.
mécaniciennes	mekanisjEn	NOM	m.é.c.a.n.i.c.i.e.nn.es	m-m.é-e.c-k.a-a.n-n.i-i.c-s.i-j.e-E.nn-n.es-#	1.1.0.1.1.1.1.0.1.1.1.
mécaniciens	mekanisj5	NOM	m.é.c.a.n.i.c.i.en.s	m-m.é-e.c-k.a-a.n-n.i-i.c-s.i-j.en-5.s-#	1.1.0.1.1.1.1.0.0.1.
mécanique	mekanik	ADJ	m.é.c.a.n.i.qu.e	m-m.é-e.c-k.a-a.n-n.i-i.qu-k.e-#	1.1.0.1.1.1.1.1.
mécanique	mekanik	NOM	m.é.c.a.n.i.qu.e	m-m.é-e.c-k.a-a.n-n.i-i.qu-k.e-#	1.1.0.1.1.1.1.1.
mécaniquement	mekanik°m@	ADV	m.é.c.a.n.i.qu.e.m.ent	m-m.é-e.c-k.a-a.n-n.i-i.qu-k.e-°.m-m.ent-@	1.1.0.1.1.1.1.0.1.1.
mécaniques	mekanik	ADJ	m.é.c.a.n.i.qu.es	m-m.é-e.c-k.a-a.n-n.i-i.qu-k.es-#	1.1.0.1.1.1.1.1.
mécaniques	mekanik	NOM	m.é.c.a.n.i.qu.es	m-m.é-e.c-k.a-a.n-n.i-i.qu-k.es-#	1.1.0.1.1.1.1.1.
mécanisait	mekanizE	VER	m.é.c.a.n.i.s.ait	m-m.é-e.c-k.a-a.n-n.i-i.s-z.ait-E	1.1.0.1.1.1.0.1.
mécanisation	mekanizasj§	NOM	m.é.c.a.n.i.s.a.t.i.on	m-m.é-e.c-k.a-a.n-n.i-i.s-z.a-a.t-s.i-j.on-§	1.1.0.1.1.1.0.1.0.0.1.
mécanise	mekaniz	VER	m.é.c.a.n.i.s.e	m-m.é-e.c-k.a-a.n-n.i-i.s-z.e-#	1.1.0.1.1.1.0.1.
mécaniser	mekanize	VER	m.é.c.a.n.i.s.er	m-m.é-e.c-k.a-a.n-n.i-i.s-z.er-e	1.1.0.1.1.1.0.1.
mécanisme	mekanizm	NOM	m.é.c.a.n.i.s.m.e	m-m.é-e.c-k.a-a.n-n.i-i.s-z.m-m.e-#	1.1.0.1.1.1.0.1.1.
mécanismes	mekanizm	NOM	m.é.c.a.n.i.s.m.es	m-m.é-e.c-k.a-a.n-n.i-i.s-z.m-m.es-#	1.1.0.1.1.1.0.1.1.
mécanistes	mekanist	ADJ	m.é.c.a.n.i.s.t.es	m-m.é-e.c-k.a-a.n-n.i-i.s-s.t-t.es-#	1.1.0.1.1.1.0.1.1.
mécanisé	mekanize	VER	m.é.c.a.n.i.s.é	m-m.é-e.c-k.a-a.n-n.i-i.s-z.é-e	1.1.0.1.1.1.0.1.
mécanisée	mekanize	VER	m.é.c.a.n.i.s.é.e	m-m.é-e.c-k.a-a.n-n.i-i.s-z.é-e.e-#	1.1.0.1.1.1.0.1.1.
mécanisées	mekanize	VER	m.é.c.a.n.i.s.é.es	m-m.é-e.c-k.a-a.n-n.i-i.s-z.é-e.es-#	1.1.0.1.1.1.0.1.1.
mécanisés	mekanize	VER	m.é.c.a.n.i.s.é.s	m-m.é-e.c-k.a-a.n-n.i-i.s-z.é-e.s-#	1.1.0.1.1.1.0.1.1.
mécano	mekano	NOM	m.é.c.a.n.o	m-m.é-e.c-k.a-a.n-n.o-o	1.1.0.1.1.1.
mécanographiques	mekanogRafik	ADJ	m.é.c.a.n.o.g.r.a.ph.i.qu.es	m-m.é-e.c-k.a-a.n-n.o-o.g-g.r-R.a-a.ph-f.i-i.qu-k.es-#	1.1.0.1.1.0.0.1.1.1.1.1.1.
mécanos	mekano	NOM	m.é.c.a.n.o.s	m-m.é-e.c-k.a-a.n-n.o-o.s-#	1.1.0.1.1.0.1.
méchait	meSE	VER	m.é.ch.ait	m-m.é-e.ch-S.ait-E	1.1.1.1.
méchamment	meSam@	ADV	m.é.ch.a.mm.ent	m-m.é-e.ch-S.a-a.mm-m.ent-@	1.1.1.1.1.1.
méchanceté	meS@s°te	NOM	m.é.ch.an.c.e.t.é	m-m.é-e.ch-S.an-@.c-s.e-°.t-t.é-e	1.1.1.1.1.0.1.1.
méchancetés	meS@s°te	NOM	m.é.ch.an.c.e.t.é.s	m-m.é-e.ch-S.an-@.c-s.e-°.t-t.é-e.s-#	1.1.1.1.1.0.1.1.1.
méchant	meS@	ADJ	m.é.ch.ant	m-m.é-e.ch-S.ant-@	1.1.1.1.
méchant	meS@	NOM	m.é.ch.ant	m-m.é-e.ch-S.ant-@	1.1.1.1.
méchant	meS@	VER	m.é.ch.ant	m-m.é-e.ch-S.ant-@	1.1.1.1.
méchante	meS@t	ADJ	m.é.ch.an.t.e	m-m.é-e.ch-S.an-@.t-t.e-#	1.1.1.1.1.1.
méchantes	meS@t	ADJ	m.é.ch.an.t.es	m-m.é-e.ch-S.an-@.t-t.es-#	1.1.1.1.1.1.
méchants	meS@	ADJ	m.é.ch.an.ts	m-m.é-e.ch-S.an-@.ts-#	1.1.1.1.1.
méchants	meS@	NOM	m.é.ch.an.ts	m-m.é-e.ch-S.an-@.ts-#	1.1.1.1.1.
mécher	meSe	VER	m.é.ch.er	m-m.é-e.ch-S.er-e	1.1.1.1.
méchoui	meSwi	NOM	m.é.ch.ou.i	m-m.é-e.ch-S.ou-w.i-i	1.1.1.0.1.
méchouis	meSwi	NOM	m.é.ch.ou.i.s	m-m.é-e.ch-S.ou-w.i-i.s-#	1.1.1.0.1.1.
mécompte	mek§t	NOM	m.é.c.om.p.t.e	m-m.é-e.c-k.om-§.p-#.t-t.e-#	1.1.0.1.0.1.1.
mécomptes	mek§t	NOM	m.é.c.om.p.t.es	m-m.é-e.c-k.om-§.p-#.t-t.es-#	1.1.0.1.0.1.1.
méconduite	mek§d8it	NOM	m.é.c.on.d.ui.t.e	m-m.é-e.c-k.on-§.d-d.ui-8i.t-t.e-#	1.1.0.1.1.1.1.1.
méconium	mekOnjOm	NOM	m.é.c.o.n.i.u.m	m-m.é-e.c-k.o-O.n-n.i-j.u-O.m-m	1.1.0.1.1.0.0.1.
méconnais	mekonE	VER	m.é.c.o.nn.ais	m-m.é-e.c-k.o-o.nn-n.ais-E	1.1.0.0.1.1.
méconnaissable	mekonEsabl	ADJ	m.é.c.o.nn.ai.ss.a.b.l.e	m-m.é-e.c-k.o-o.nn-n.ai-E.ss-s.a-a.b-b.l-l.e-#	1.1.0.0.1.1.1.1.1.1.1.
méconnaissables	mekonEsabl	ADJ	m.é.c.o.nn.ai.ss.a.b.l.es	m-m.é-e.c-k.o-o.nn-n.ai-E.ss-s.a-a.b-b.l-l.es-#	1.1.0.0.1.1.1.1.1.1.1.
méconnaissais	mekonEsE	VER	m.é.c.o.nn.ai.ss.ais	m-m.é-e.c-k.o-o.nn-n.ai-E.ss-s.ais-E	1.1.0.0.1.1.1.1.
méconnaissance	mekonEs@s	NOM	m.é.c.o.nn.ai.ss.an.c.e	m-m.é-e.c-k.o-o.nn-n.ai-E.ss-s.an-@.c-s.e-#	1.1.0.0.1.1.1.1.1.1.
méconnaissant	mekonEs@	VER	m.é.c.o.nn.ai.ss.ant	m-m.é-e.c-k.o-o.nn-n.ai-E.ss-s.ant-@	1.1.0.0.1.1.1.1.
méconnaisse	mekonEs	VER	m.é.c.o.nn.ai.ss.e	m-m.é-e.c-k.o-o.nn-n.ai-E.ss-s.e-#	1.1.0.0.1.1.1.1.
méconnaissent	mekonEs	VER	m.é.c.o.nn.ai.ss.ent	m-m.é-e.c-k.o-o.nn-n.ai-E.ss-s.ent-#	1.1.0.0.1.1.1.0.
méconnaîtra	mekonEtRa	VER	m.é.c.o.nn.aî.t.r.a	m-m.é-e.c-k.o-o.nn-n.aî-E.t-t.r-R.a-a	1.1.0.0.1.1.1.1.1.
méconnaître	mekonEtR	VER	m.é.c.o.nn.aî.t.r.e	m-m.é-e.c-k.o-o.nn-n.aî-E.t-t.r-R.e-#	1.1.0.0.1.1.1.1.1.
méconnu	mekony	VER	m.é.c.o.nn.u	m-m.é-e.c-k.o-o.nn-n.u-y	1.1.0.0.1.1.
méconnu	mekony	ADJ	m.é.c.o.nn.u	m-m.é-e.c-k.o-o.nn-n.u-y	1.1.0.0.1.1.
méconnu	mekony	NOM	m.é.c.o.nn.u	m-m.é-e.c-k.o-o.nn-n.u-y	1.1.0.0.1.1.
méconnue	mekony	VER	m.é.c.o.nn.u.e	m-m.é-e.c-k.o-o.nn-n.u-y.e-#	1.1.0.0.1.1.1.
méconnue	mekony	ADJ	m.é.c.o.nn.u.e	m-m.é-e.c-k.o-o.nn-n.u-y.e-#	1.1.0.0.1.1.1.
méconnues	mekony	VER	m.é.c.o.nn.u.es	m-m.é-e.c-k.o-o.nn-n.u-y.es-#	1.1.0.0.1.1.1.
méconnus	mekony	VER	m.é.c.o.nn.us	m-m.é-e.c-k.o-o.nn-n.us-y	1.1.0.0.1.1.
méconnus	mekony	ADJ	m.é.c.o.nn.u.s	m-m.é-e.c-k.o-o.nn-n.u-y.s-#	1.1.0.0.1.1.1.
méconnus	mekony	NOM	m.é.c.o.nn.u.s	m-m.é-e.c-k.o-o.nn-n.u-y.s-#	1.1.0.0.1.1.1.
mécontent	mek§t@	ADJ	m.é.c.on.t.ent	m-m.é-e.c-k.on-§.t-t.ent-@	1.1.0.1.1.1.
mécontent	mek§t@	NOM	m.é.c.on.t.ent	m-m.é-e.c-k.on-§.t-t.ent-@	1.1.0.1.1.1.
mécontenta	mek§t@ta	VER	m.é.c.on.t.en.t.a	m-m.é-e.c-k.on-§.t-t.en-@.t-t.a-a	1.1.0.1.1.1.1.1.
mécontentait	mek§t@tE	VER	m.é.c.on.t.en.t.ait	m-m.é-e.c-k.on-§.t-t.en-@.t-t.ait-E	1.1.0.1.1.1.1.1.
mécontente	mek§t@t	ADJ	m.é.c.on.t.en.t.e	m-m.é-e.c-k.on-§.t-t.en-@.t-t.e-#	1.1.0.1.1.1.1.1.
mécontente	mek§t@t	NOM	m.é.c.on.t.en.t.e	m-m.é-e.c-k.on-§.t-t.en-@.t-t.e-#	1.1.0.1.1.1.1.1.
mécontente	mek§t@t	VER	m.é.c.on.t.en.t.e	m-m.é-e.c-k.on-§.t-t.en-@.t-t.e-#	1.1.0.1.1.1.1.1.
mécontentement	mek§t@t°m@	NOM	m.é.c.on.t.en.t.e.m.ent	m-m.é-e.c-k.on-§.t-t.en-@.t-t.e-°.m-m.ent-@	1.1.0.1.1.1.1.0.1.1.
mécontentements	mek§t@t°m@	NOM	m.é.c.on.t.en.t.e.m.en.ts	m-m.é-e.c-k.on-§.t-t.en-@.t-t.e-°.m-m.en-@.ts-#	1.1.0.1.1.1.1.0.1.1.1.
mécontenter	mek§t@te	VER	m.é.c.on.t.en.t.er	m-m.é-e.c-k.on-§.t-t.en-@.t-t.er-e	1.1.0.1.1.1.1.1.
mécontentes	mek§t@t	ADJ	m.é.c.on.t.en.t.es	m-m.é-e.c-k.on-§.t-t.en-@.t-t.es-#	1.1.0.1.1.1.1.1.
mécontents	mek§t@	ADJ	m.é.c.on.t.en.ts	m-m.é-e.c-k.on-§.t-t.en-@.ts-#	1.1.0.1.1.1.1.
mécontents	mek§t@	NOM	m.é.c.on.t.en.ts	m-m.é-e.c-k.on-§.t-t.en-@.ts-#	1.1.0.1.1.1.1.
mécontenté	mek§t@te	VER	m.é.c.on.t.en.t.é	m-m.é-e.c-k.on-§.t-t.en-@.t-t.é-e	1.1.0.1.1.1.1.1.
mécontentés	mek§t@te	VER	m.é.c.on.t.en.t.é.s	m-m.é-e.c-k.on-§.t-t.en-@.t-t.é-e.s-#	1.1.0.1.1.1.1.1.1.
mécru	mekRy	VER	m.é.c.r.u	m-m.é-e.c-k.r-R.u-y	1.1.0.1.1.
mécréance	mekRe@s	NOM	m.é.c.r.é.an.c.e	m-m.é-e.c-k.r-R.é-e.an-@.c-s.e-#	1.1.0.1.1.1.1.1.
mécréant	mekRe@	ADJ	m.é.c.r.é.ant	m-m.é-e.c-k.r-R.é-e.ant-@	1.1.0.1.1.1.
mécréant	mekRe@	NOM	m.é.c.r.é.ant	m-m.é-e.c-k.r-R.é-e.ant-@	1.1.0.1.1.1.
mécréante	mekRe@t	ADJ	m.é.c.r.é.an.t.e	m-m.é-e.c-k.r-R.é-e.an-@.t-t.e-#	1.1.0.1.1.1.1.1.
mécréants	mekRe@	ADJ	m.é.c.r.é.an.ts	m-m.é-e.c-k.r-R.é-e.an-@.ts-#	1.1.0.1.1.1.1.
mécréants	mekRe@	NOM	m.é.c.r.é.an.ts	m-m.é-e.c-k.r-R.é-e.an-@.ts-#	1.1.0.1.1.1.1.
mécène	mesEn	NOM	m.é.c.è.n.e	m-m.é-e.c-s.è-E.n-n.e-#	1.1.1.1.1.1.
mécènes	mesEn	NOM	m.é.c.è.n.es	m-m.é-e.c-s.è-E.n-n.es-#	1.1.1.1.1.1.
mécénat	mesena	NOM	m.é.c.é.n.a.t	m-m.é-e.c-s.é-e.n-n.a-a.t-#	1.1.1.1.1.1.1.
médaille	medaj	NOM	m.é.d.a.ill.e	m-m.é-e.d-d.a-a.ill-j.e-#	1.1.1.1.0.1.
médailles	medaj	NOM	m.é.d.a.ill.es	m-m.é-e.d-d.a-a.ill-j.es-#	1.1.1.1.0.1.
médailleurs	medaj9R	NOM	m.é.d.a.ill.eu.r.s	m-m.é-e.d-d.a-a.ill-j.eu-9.r-R.s-#	1.1.1.1.0.0.1.1.
médaillon	medaj§	NOM	m.é.d.a.ill.on	m-m.é-e.d-d.a-a.ill-j.on-§	1.1.1.1.0.1.
médaillons	medaj§	NOM	m.é.d.a.ill.on.s	m-m.é-e.d-d.a-a.ill-j.on-§.s-#	1.1.1.1.0.1.1.
médaillé	medaje	VER	m.é.d.a.ill.é	m-m.é-e.d-d.a-a.ill-j.é-e	1.1.1.1.0.1.
médaillé	medaje	ADJ	m.é.d.a.ill.é	m-m.é-e.d-d.a-a.ill-j.é-e	1.1.1.1.0.1.
médaillé	medaje	NOM	m.é.d.a.ill.é	m-m.é-e.d-d.a-a.ill-j.é-e	1.1.1.1.0.1.
médaillée	medaje	VER	m.é.d.a.ill.é.e	m-m.é-e.d-d.a-a.ill-j.é-e.e-#	1.1.1.1.0.1.1.
médaillée	medaje	ADJ	m.é.d.a.ill.é.e	m-m.é-e.d-d.a-a.ill-j.é-e.e-#	1.1.1.1.0.1.1.
médaillée	medaje	NOM	m.é.d.a.ill.é.e	m-m.é-e.d-d.a-a.ill-j.é-e.e-#	1.1.1.1.0.1.1.
médecin	mEds5	NOM	m.é.d.e.c.in	m-m.é-E.d-d.e-#.c-s.in-5	1.0.1.0.1.1.
médecine	mEdsin	NOM	m.é.d.e.c.i.n.e	m-m.é-E.d-d.e-#.c-s.i-i.n-n.e-#	1.0.1.0.1.1.1.1.
médecines	mEdsin	NOM	m.é.d.e.c.i.n.es	m-m.é-E.d-d.e-#.c-s.i-i.n-n.es-#	1.0.1.0.1.1.1.1.
médecins	mEds5	NOM	m.é.d.e.c.in.s	m-m.é-E.d-d.e-#.c-s.in-5.s-#	1.0.1.0.1.1.1.
média	medja	NOM	m.é.d.i.a	m-m.é-e.d-d.i-j.a-a	1.1.1.0.1.
médian	medj@	ADJ	m.é.d.i.an	m-m.é-e.d-d.i-j.an-@	1.1.1.0.1.
médiane	medjan	ADJ	m.é.d.i.a.n.e	m-m.é-e.d-d.i-j.a-a.n-n.e-#	1.1.1.0.1.1.1.
médiane	medjan	NOM	m.é.d.i.a.n.e	m-m.é-e.d-d.i-j.a-a.n-n.e-#	1.1.1.0.1.1.1.
médianes	medjan	ADJ	m.é.d.i.a.n.es	m-m.é-e.d-d.i-j.a-a.n-n.es-#	1.1.1.0.1.1.1.
médianoche	medjanOS	NOM	m.é.d.i.a.n.o.ch.e	m-m.é-e.d-d.i-j.a-a.n-n.o-O.ch-S.e-#	1.1.1.0.1.1.1.1.1.
médians	medj@	ADJ	m.é.d.i.an.s	m-m.é-e.d-d.i-j.an-@.s-#	1.1.1.0.1.1.
médias	medja	NOM	m.é.d.i.a.s	m-m.é-e.d-d.i-j.a-a.s-#	1.1.1.0.1.1.
médiascope	medjaskOp	NOM	m.é.d.i.a.s.c.o.p.e	m-m.é-e.d-d.i-j.a-a.s-s.c-k.o-O.p-p.e-#	1.1.1.0.1.0.0.1.1.1.
médiastin	medjast5	NOM	m.é.d.i.a.s.t.in	m-m.é-e.d-d.i-j.a-a.s-s.t-t.in-5	1.1.1.0.1.0.1.1.
médiateur	medjat9R	ADJ	m.é.d.i.a.t.eu.r	m-m.é-e.d-d.i-j.a-a.t-t.eu-9.r-R	1.1.1.0.1.1.0.1.
médiateur	medjat9R	NOM	m.é.d.i.a.t.eu.r	m-m.é-e.d-d.i-j.a-a.t-t.eu-9.r-R	1.1.1.0.1.1.0.1.
médiateurs	medjat9R	ADJ	m.é.d.i.a.t.eu.r.s	m-m.é-e.d-d.i-j.a-a.t-t.eu-9.r-R.s-#	1.1.1.0.1.1.0.1.1.
médiateurs	medjat9R	NOM	m.é.d.i.a.t.eu.r.s	m-m.é-e.d-d.i-j.a-a.t-t.eu-9.r-R.s-#	1.1.1.0.1.1.0.1.1.
médiation	medjasj§	NOM	m.é.d.i.a.t.i.on	m-m.é-e.d-d.i-j.a-a.t-s.i-j.on-§	1.1.1.0.1.0.0.1.
médiatique	medjatik	ADJ	m.é.d.i.a.t.i.qu.e	m-m.é-e.d-d.i-j.a-a.t-t.i-i.qu-k.e-#	1.1.1.0.1.1.1.1.1.
médiatiques	medjatik	ADJ	m.é.d.i.a.t.i.qu.es	m-m.é-e.d-d.i-j.a-a.t-t.i-i.qu-k.es-#	1.1.1.0.1.1.1.1.1.
médiatisant	medjatiz@	VER	m.é.d.i.a.t.i.s.ant	m-m.é-e.d-d.i-j.a-a.t-t.i-i.s-z.ant-@	1.1.1.0.1.1.1.0.1.
médiatisation	medjatizasj§	NOM	m.é.d.i.a.t.i.s.a.t.i.on	m-m.é-e.d-d.i-j.a-a.t-t.i-i.s-z.a-a.t-s.i-j.on-§	1.1.1.0.1.1.1.0.1.0.0.1.
médiatisé	medjatize	VER	m.é.d.i.a.t.i.s.é	m-m.é-e.d-d.i-j.a-a.t-t.i-i.s-z.é-e	1.1.1.0.1.1.1.0.1.
médiatisée	medjatize	VER	m.é.d.i.a.t.i.s.é.e	m-m.é-e.d-d.i-j.a-a.t-t.i-i.s-z.é-e.e-#	1.1.1.0.1.1.1.0.1.1.
médiatisées	medjatize	VER	m.é.d.i.a.t.i.s.é.es	m-m.é-e.d-d.i-j.a-a.t-t.i-i.s-z.é-e.es-#	1.1.1.0.1.1.1.0.1.1.
médiatisés	medjatize	VER	m.é.d.i.a.t.i.s.é.s	m-m.é-e.d-d.i-j.a-a.t-t.i-i.s-z.é-e.s-#	1.1.1.0.1.1.1.0.1.1.
médiator	medjatOR	NOM	m.é.d.i.a.t.o.r	m-m.é-e.d-d.i-j.a-a.t-t.o-O.r-R	1.1.1.0.1.1.1.1.
médiatrice	medjatRis	ADJ	m.é.d.i.a.t.r.i.c.e	m-m.é-e.d-d.i-j.a-a.t-t.r-R.i-i.c-s.e-#	1.1.1.0.1.1.1.1.1.1.
médiatrice	medjatRis	NOM	m.é.d.i.a.t.r.i.c.e	m-m.é-e.d-d.i-j.a-a.t-t.r-R.i-i.c-s.e-#	1.1.1.0.1.1.1.1.1.1.
médiatrices	medjatRis	ADJ	m.é.d.i.a.t.r.i.c.es	m-m.é-e.d-d.i-j.a-a.t-t.r-R.i-i.c-s.es-#	1.1.1.0.1.1.1.1.1.1.
médiatrices	medjatRis	NOM	m.é.d.i.a.t.r.i.c.es	m-m.é-e.d-d.i-j.a-a.t-t.r-R.i-i.c-s.es-#	1.1.1.0.1.1.1.1.1.1.
médical	medikal	ADJ	m.é.d.i.c.a.l	m-m.é-e.d-d.i-i.c-k.a-a.l-l	1.1.1.1.0.1.1.
médicale	medikal	ADJ	m.é.d.i.c.a.l.e	m-m.é-e.d-d.i-i.c-k.a-a.l-l.e-#	1.1.1.1.0.1.1.1.
médicalement	medikal°m@	ADV	m.é.d.i.c.a.l.e.m.ent	m-m.é-e.d-d.i-i.c-k.a-a.l-l.e-°.m-m.ent-@	1.1.1.1.0.1.1.0.1.1.
médicales	medikal	ADJ	m.é.d.i.c.a.l.es	m-m.é-e.d-d.i-i.c-k.a-a.l-l.es-#	1.1.1.1.0.1.1.1.
médicalisation	medikalizasj§	NOM	m.é.d.i.c.a.l.i.s.a.t.i.on	m-m.é-e.d-d.i-i.c-k.a-a.l-l.i-i.s-z.a-a.t-s.i-j.on-§	1.1.1.1.0.1.1.1.0.1.0.0.1.
médicalisé	medikalize	VER	m.é.d.i.c.a.l.i.s.é	m-m.é-e.d-d.i-i.c-k.a-a.l-l.i-i.s-z.é-e	1.1.1.1.0.1.1.1.0.1.
médicalisée	medikalize	VER	m.é.d.i.c.a.l.i.s.é.e	m-m.é-e.d-d.i-i.c-k.a-a.l-l.i-i.s-z.é-e.e-#	1.1.1.1.0.1.1.1.0.1.1.
médicament	medikam@	NOM	m.é.d.i.c.a.m.ent	m-m.é-e.d-d.i-i.c-k.a-a.m-m.ent-@	1.1.1.1.0.1.1.1.
médicamentait	medikam@tE	VER	m.é.d.i.c.a.m.en.t.ait	m-m.é-e.d-d.i-i.c-k.a-a.m-m.en-@.t-t.ait-E	1.1.1.1.0.1.1.1.1.1.
médicamentation	medikam@tasj§	NOM	m.é.d.i.c.a.m.en.t.a.t.i.on	m-m.é-e.d-d.i-i.c-k.a-a.m-m.en-@.t-t.a-a.t-s.i-j.on-§	1.1.1.1.0.1.1.1.1.1.0.0.1.
médicamenter	medikam@te	VER	m.é.d.i.c.a.m.en.t.er	m-m.é-e.d-d.i-i.c-k.a-a.m-m.en-@.t-t.er-e	1.1.1.1.0.1.1.1.1.1.
médicamenteuse	medikam@t2z	ADJ	m.é.d.i.c.a.m.en.t.eu.s.e	m-m.é-e.d-d.i-i.c-k.a-a.m-m.en-@.t-t.eu-2.s-z.e-#	1.1.1.1.0.1.1.1.1.1.0.1.
médicamenteux	medikam@t2	ADJ	m.é.d.i.c.a.m.en.t.eu.x	m-m.é-e.d-d.i-i.c-k.a-a.m-m.en-@.t-t.eu-2.x-#	1.1.1.1.0.1.1.1.1.1.1.
médicaments	medikam@	NOM	m.é.d.i.c.a.m.en.ts	m-m.é-e.d-d.i-i.c-k.a-a.m-m.en-@.ts-#	1.1.1.1.0.1.1.1.1.
médicamenté	medikam@te	VER	m.é.d.i.c.a.m.en.t.é	m-m.é-e.d-d.i-i.c-k.a-a.m-m.en-@.t-t.é-e	1.1.1.1.0.1.1.1.1.1.
